embedding_dim,hidden_dim,num_layers,learning_rate,batch_size,epochs,weight_decay,rmse
50,50,2,0.001,512,40,0.0,1.109499534816567
50,50,1,0.01,512,40,0.0001,1.0332289117432762
50,50,1,0.01,512,40,0.0,1.211710480121305
50,50,2,0.01,512,40,0.0001,1.0130508666828821
50,50,2,0.01,512,40,0.0,1.1776637219038497
50,100,1,0.001,512,40,0.0001,0.9465171452484298
50,100,1,0.001,512,40,0.0,1.0591612698717383
50,100,2,0.001,512,40,0.0001,0.9459396047729425
50,100,2,0.001,512,40,0.0,1.1167464552789559
50,100,1,0.01,512,40,0.0001,1.0282745785881522
50,100,1,0.01,512,40,0.0,1.204841281362465
50,100,2,0.01,512,40,0.0001,0.9957392042888357
50,100,2,0.01,512,40,0.0,1.1410365472669102
50,50,1,0.001,512,80,0.0001,1.02698792071793
50,50,1,0.001,512,80,0.0,1.1778879144643337
50,50,2,0.001,512,80,0.0001,1.1663960869685548
50,50,2,0.001,512,80,0.0,1.2543331857353919
50,50,1,0.01,512,80,0.0001,1.106947539939578
50,50,1,0.01,512,80,0.0,1.2301539911622248
50,50,2,0.01,512,80,0.0001,1.077992583173245
50,50,2,0.01,512,80,0.0,1.1773731190056602
50,100,1,0.001,512,80,0.0001,0.9900969460732602
50,100,1,0.001,512,80,0.0,1.2579755025883075
50,100,2,0.001,512,80,0.0001,1.0562581552946826
50,100,2,0.001,512,80,0.0,1.2724242128238408
50,100,1,0.01,512,80,0.0001,1.0829939432864195
50,100,1,0.01,512,80,0.0,1.2041364109413788
50,100,2,0.01,512,80,0.0001,1.070869690590818
50,100,2,0.01,512,80,0.0,1.165912668356848
50,50,1,0.001,512,160,0.0001,1.2360874803596498
50,50,1,0.001,512,160,0.0,1.366685568089541
50,50,2,0.001,512,160,0.0001,1.3404087843745711
50,50,2,0.001,512,160,0.0,1.4228129384932249
50,50,1,0.01,512,160,0.0001,1.111649666179126
50,50,1,0.01,512,160,0.0,1.2294665418015094
50,50,2,0.01,512,160,0.0001,1.1147373782271262
50,50,2,0.01,512,160,0.0,1.17913168640732
50,100,1,0.001,512,160,0.0001,1.1772360688537804
50,100,1,0.001,512,160,0.0,1.4324424340629878
50,100,2,0.001,512,160,0.0001,1.2362898930669142
50,100,2,0.001,512,160,0.0,1.4280674828898163
50,100,1,0.01,512,160,0.0001,1.1069961079233561
50,100,1,0.01,512,160,0.0,1.201288679693028
50,100,2,0.01,512,160,0.0001,1.0904402109028133
50,100,2,0.01,512,160,0.0,1.1622167713964593
60,50,1,0.001,512,40,0.0001,0.9467482264793996
60,50,1,0.001,512,40,0.0,1.064344656081105
60,50,2,0.001,512,40,0.0001,1.028522236154811
60,50,2,0.001,512,40,0.0,1.1387747297731816
60,50,1,0.01,512,40,0.0001,1.0612393361376966
60,50,1,0.01,512,40,0.0,1.217295438904374
60,50,2,0.01,512,40,0.0001,1.0079747742115264
60,50,2,0.01,512,40,0.0,1.1555094538309763
60,100,1,0.001,512,40,0.0001,0.9500214436269229
60,100,1,0.001,512,40,0.0,1.0928571599093024
60,100,2,0.001,512,40,0.0001,0.9513429961695092
60,100,2,0.001,512,40,0.0,1.1535277410246163
60,100,1,0.01,512,40,0.0001,1.0100857432011225
60,100,1,0.01,512,40,0.0,1.1891106674724456
60,100,2,0.01,512,40,0.0001,0.9984777905091097
60,100,2,0.01,512,40,0.0,1.141507316986975
60,50,1,0.001,512,80,0.0001,1.0774114707813425
60,50,1,0.001,512,80,0.0,1.2159854638868404
60,50,2,0.001,512,80,0.0001,1.2045808381237646
60,50,2,0.001,512,80,0.0,1.2952958569533082
60,50,1,0.01,512,80,0.0001,1.1025273852072046
60,50,1,0.01,512,80,0.0,1.2291780514378443
60,50,2,0.01,512,80,0.0001,1.0840990710364728
60,50,2,0.01,512,80,0.0,1.1774707201741241
60,100,1,0.001,512,80,0.0001,1.039961347228467
60,100,1,0.001,512,80,0.0,1.2666238210776706
60,100,2,0.001,512,80,0.0001,1.0750634773497894
60,100,2,0.001,512,80,0.0,1.3105498767255583
60,100,1,0.01,512,80,0.0001,1.0771362082650924
60,100,1,0.01,512,80,0.0,1.178033591450496
60,100,2,0.01,512,80,0.0001,1.0717489807964058
60,100,2,0.01,512,80,0.0,1.1492093146148823
60,50,1,0.001,512,160,0.0001,1.2565011717566579
60,50,1,0.001,512,160,0.0,1.4283736398559728
60,50,2,0.001,512,160,0.0001,1.3246820140238178
60,50,2,0.001,512,160,0.0,1.471985277065993
60,50,1,0.01,512,160,0.0001,1.106170808791735
60,50,1,0.01,512,160,0.0,1.2231438490205184
60,50,2,0.01,512,160,0.0001,1.0910475450675097
60,50,2,0.01,512,160,0.0,1.1772473088831348
60,100,1,0.001,512,160,0.0001,1.1951325224970917
60,100,1,0.001,512,160,0.0,1.4582758029307523
60,100,2,0.001,512,160,0.0001,1.2598228737294768
60,100,2,0.001,512,160,0.0,1.4048770984505348
60,100,1,0.01,512,160,0.0001,1.1144315432047613
60,100,1,0.01,512,160,0.0,1.1639515356645196
60,100,2,0.01,512,160,0.0001,1.0996382660398925
60,100,2,0.01,512,160,0.0,1.1326874762635444
